Player,Season,Team,GP,MP,O-PIPM,D-PIPM,PIPM,Wins Added
David Lee,2014,GSW,76,"2,497.20",0.79,1.41,2.19,7.9
Trevor Ariza,2014,WAS,88,"3,119.80",0.87,1.32,2.18,9.8
Paul Millsap,2014,ATL,81,"2,741.00",0.42,1.75,2.17,8.6
Tiago Splitter,2014,SAS,82,"1,779.90",-0.33,2.49,2.16,5.6
Paul Pierce,2014,BRK,87,"2,462.30",-0.1,2.25,2.15,7.7
Jimmy Butler,2014,CHI,72,"2,803.10",0.34,1.78,2.12,8.8
Nicolas Batum,2014,POR,93,"3,408.10",1.75,0.36,2.11,10.4
Brandan Wright,2014,DAL,64,"1,159.70",2.37,-0.27,2.1,3.5
Iman Shumpert,2014,NYK,74,"1,957.70",-0.08,2.14,2.06,6
Al Jefferson,2014,CHA,76,"2,654.20",0.7,1.34,2.04,8.1
James Johnson,2014,MEM,55,981.8,0.76,1.28,2.04,3
Corey Brewer,2014,MIN,81,"2,603.80",1,1.02,2.02,7.8
Devin Harris,2014,DAL,47,991.1,2.22,-0.21,2.01,2.9
Eric Bledsoe,2014,PHO,43,"1,414.50",0.46,1.5,1.96,4.2
C.J. Miles,2014,CLE,51,981.3,1.05,0.84,1.89,2.9
Patrick Beverley,2014,HOU,62,"1,949.10",1.35,0.51,1.86,5.6
Mike Conley,2014,MEM,80,"2,704.60",2.2,-0.54,1.66,7.5
James Jones,2014,MIA,35,362.5,2.31,-0.66,1.65,1
Mario Chalmers,2014,MIA,93,"2,703.60",1.16,0.47,1.63,7.4
Matthew Dellavedova,2014,CLE,72,"1,270.30",0.4,1.23,1.63,3.5
Kyle Korver,2014,ATL,78,"2,653.80",0.82,0.78,1.6,7.3
Patrick Patterson,2014,TOT,72,"1,726.80",0.57,0.95,1.51,4.6
DeMarre Carroll,2014,ATL,80,"2,578.70",0.25,1.23,1.48,6.9
Chandler Parsons,2014,HOU,80,"3,029.00",2.07,-0.62,1.45,7.9
Jeff Withey,2014,NOP,58,683.4,-0.38,1.83,1.45,1.8
Luke Babbitt,2014,NOP,27,472.3,1.61,-0.16,1.45,1.2
Andre Drummond,2014,DET,81,"2,610.40",0.78,0.66,1.44,6.8
Josh McRoberts,2014,CHA,82,"2,514.40",0.75,0.66,1.4,6.6
Chris Andersen,2014,MIA,90,"1,704.30",-0.37,1.74,1.37,4.4
Tyson Chandler,2014,NYK,55,"1,656.60",0.2,1.15,1.35,4.2
Al Horford,2014,ATL,29,953.7,0.22,1.07,1.29,2.4
Nikola Pekovic,2014,MIN,54,"1,659.80",0.99,0.29,1.27,4.2
Jrue Holiday,2014,NOP,34,"1,138.80",1.4,-0.19,1.22,2.8
Nate Robinson,2014,DEN,44,864.8,0.83,0.36,1.2,2.1
Cole Aldrich,2014,NYK,46,333.9,-0.79,1.97,1.19,0.8
Greivis Vasquez,2014,TOT,86,"1,964.10",0.51,0.68,1.18,4.9
Vince Carter,2014,DAL,88,"2,149.40",0.81,0.32,1.13,5.2
Ty Lawson,2014,DEN,62,"2,215.30",2.52,-1.43,1.09,5.3
Robin Lopez,2014,POR,93,"2,963.70",0.33,0.75,1.08,7
Pablo Prigioni,2014,NYK,66,"1,277.20",0.42,0.63,1.05,3
Tony Allen,2014,MEM,62,"1,503.80",-0.02,1.06,1.04,3.6
Shawne Williams,2014,LAL,36,748.9,-0.83,1.83,1,1.8
George Hill,2014,IND,95,"3,113.90",0.2,0.8,0.99,7.3
Timofey Mozgov,2014,DEN,82,"1,764.60",-0.38,1.33,0.95,4.1
