RK,NAME,TEAM,GP,MPG,ORPM,DRPM,RPM,WINS
203,"CJ McCollum, SG",POR,38,12.5,-0.14,-0.79,-0.93,0.4
204,"Kyle Singler, SF",DET,82,28.5,-0.83,-0.14,-0.97,2
205,"Glen Davis, PF",LAC/ORL,68,24.4,-3.22,2.22,-1,1.4
206,"Troy Daniels, SG",HOU,5,15,0.51,-1.51,-1,0.1
207,"Nick Young, SG",LAL,64,28.3,0.91,-1.92,-1.01,1.6
208,"Beno Udrih, PG",NY/MEM,41,15.7,0.42,-1.45,-1.03,0.5
209,"Shawn Marion, SG",DAL,76,31.7,-1.72,0.67,-1.05,1.9
210,"Lavoy Allen, PF",IND/PHI,65,16.5,-3.07,2.02,-1.05,0.9
211,"Jeff Teague, PG",ATL,79,32.2,-0.22,-0.84,-1.06,2.1
212,"Greg Smith, PF",HOU,11,9.1,-0.94,-0.14,-1.08,0.1
213,"Tayshaun Prince, SF",MEM,76,25.6,-1.46,0.35,-1.11,1.4
214,"Elton Brand, PF",ATL,73,19.4,-2.84,1.72,-1.12,1.1
215,"Dante Cunningham, SF",MIN,81,20.2,-1.28,0.14,-1.14,1.2
216,"Giannis Antetokounmpo, PF",MIL,77,24.6,0.66,-1.8,-1.14,1.4
217,"Hasheem Thabeet, C",OKC,23,8.3,-4.74,3.58,-1.16,0.2
218,"Chris Copeland, SF",IND,41,6.5,0.76,-1.93,-1.17,0.2
219,"Ian Mahinmi, C",IND,77,16.2,-4.93,3.75,-1.18,0.9
220,"Malcolm Thomas, PF",SA/UTAH,8,7.9,-0.98,-0.22,-1.2,0
221,"Andre Roberson, SG",OKC,40,10,-1.56,0.34,-1.22,0.3
222,"Trey Burke, PG",UTAH,70,32.3,2.02,-3.25,-1.23,1.5
223,"Robert Covington, SF",HOU,7,4.9,-1.35,0.11,-1.24,0
224,"Cole Aldrich, C",NY,46,7.2,-2.06,0.8,-1.26,0.2
225,"Randy Foye, SG",DEN,81,30.7,-0.05,-1.22,-1.27,1.8
226,"Chris Johnson, SG",BOS,40,19.7,-0.08,-1.19,-1.27,0.5
227,"Jeremy Lamb, SG",OKC,78,19.7,-0.33,-0.97,-1.3,1
228,"Kelly Olynyk, C",BOS,70,20,0.38,-1.71,-1.33,0.9
229,"Henry Sims, C",CLE/PHI,46,19,-2.41,1.05,-1.36,0.6
